CountyId,County,State,Median Home Value,Household Income,Per Capita Income,Population,Median Age
2284,Adams County,Indiana,122400,51713,22514,35195,33.4
2247,Allen County,Indiana,123800,53402,28239,370016,35.8
2277,Bartholomew County,Indiana,143800,59045,30515,81893,37.7
3175,Benton County,Indiana,87900,46188,23322,8667,40.5
2258,Blackford County,Indiana,71300,42217,24663,12129,44.3
2279,Boone County,Indiana,222500,80567,44712,64321,38
2235,Brown County,Indiana,186000,61455,33617,15034,49.2
3189,Carroll County,Indiana,131600,56429,28430,19994,42.8
2224,Cass County,Indiana,85500,47545,23918,38084,40.8
3193,Clark County,Indiana,137800,54240,28525,115702,38.9
2226,Clay County,Indiana,102000,53021,25290,26268,40.9
2236,Clinton County,Indiana,104000,52488,24276,32301,38.2
2223,Crawford County,Indiana,89700,43875,21021,10581,43.6
2239,Daviess County,Indiana,121500,51032,22548,32937,34.7
2275,DeKalb County,Indiana,118100,53808,27036,42704,39.1
2240,Dearborn County,Indiana,165400,65096,29891,49501,42.7
2248,Decatur County,Indiana,124700,54622,26515,26552,38.9
3184,Delaware County,Indiana,90900,42705,24234,115616,35.4
3171,Dubois County,Indiana,149500,58994,28932,42418,40.4
2222,Elkhart County,Indiana,137900,55399,25075,203604,35.5
2285,Fayette County,Indiana,82400,43317,23627,23259,42.6
2249,Floyd County,Indiana,165700,61754,32299,76809,39.9
2221,Fountain County,Indiana,94900,49887,26721,16486,43.1
2228,Franklin County,Indiana,151900,58382,27557,22842,42
2280,Fulton County,Indiana,97200,49333,25106,20212,41.3
2253,Gibson County,Indiana,110300,52620,27137,33596,40.3
2229,Grant County,Indiana,89500,42593,21739,66944,40.3
3169,Greene County,Indiana,95600,49177,24309,32295,42.9
2274,Hamilton County,Indiana,249400,94644,46597,316095,36.9
3172,Hancock County,Indiana,165200,73142,32730,73830,39.9
2260,Harrison County,Indiana,143500,57132,27211,39712,42.5
2227,Hendricks County,Indiana,179600,78355,34689,160940,37.7
3178,Henry County,Indiana,96200,48235,23851,48483,42.2
2231,Howard County,Indiana,106300,50869,27297,82387,41.7
3190,Huntington County,Indiana,105000,52208,25386,36378,40.7
2230,Jackson County,Indiana,116700,49506,24522,43938,38.7
2263,Jasper County,Indiana,158300,59574,26415,33449,39.9
3192,Jay County,Indiana,85400,44772,22470,20993,40
3185,Jefferson County,Indiana,123700,51119,26060,32237,40.5
2250,Jennings County,Indiana,103900,49801,23490,27727,39.7
2251,Johnson County,Indiana,158200,68712,32475,151564,37.4
2241,Knox County,Indiana,88700,46457,24581,37409,38
2255,Kosciusko County,Indiana,146000,58402,28740,78806,38
2276,LaGrange County,Indiana,179200,60675,23626,38942,31.4
2261,LaPorte County,Indiana,127700,51101,25865,110552,40.4
2281,Lake County,Indiana,143500,54249,27660,486849,38.7
2238,Lawrence County,Indiana,115700,52092,25590,45619,42.8
3179,Madison County,Indiana,93700,47436,24625,129505,40.3
2225,Marion County,Indiana,129200,46692,27251,944523,34.4
2256,Marshall County,Indiana,134500,54229,25537,46595,40.1
2264,Martin County,Indiana,111100,51224,25676,10210,42.7
3182,Miami County,Indiana,87200,47460,22871,35901,40
2220,Monroe County,Indiana,167900,47075,27461,145403,29.3
2282,Montgomery County,Indiana,120500,53610,26184,38276,40.5
2252,Morgan County,Indiana,154300,62462,28633,69727,41.4
3186,Newton County,Indiana,115300,53146,25366,14018,42.9
2283,Noble County,Indiana,118100,55033,26063,47451,38.7
3173,Ohio County,Indiana,148100,61148,29368,5887,47.5
2254,Orange County,Indiana,92200,45341,23317,19547,42.1
2232,Owen County,Indiana,113500,48667,24129,20878,44.9
3174,Parke County,Indiana,91300,48788,23052,16996,41.8
2242,Perry County,Indiana,108800,51064,24540,19141,42.2
3180,Pike County,Indiana,96700,52527,26584,12411,43.7
2265,Porter County,Indiana,178100,68044,32943,168041,39.5
2244,Posey County,Indiana,141000,62583,30572,25589,42.3
2243,Pulaski County,Indiana,98700,48370,24695,12660,41.2
3176,Putnam County,Indiana,121300,56169,24627,37559,37.9
2233,Randolph County,Indiana,79600,45601,23539,25076,42.4
2267,Ripley County,Indiana,149800,56295,27423,28425,40.8
2278,Rush County,Indiana,104300,50535,24900,16704,41.6
2259,Scott County,Indiana,99600,47123,22688,23743,40.7
2266,Shelby County,Indiana,130100,59214,28491,44399,41
2268,Spencer County,Indiana,121000,56998,29999,20526,43.6
3187,St. Joseph County,Indiana,123900,50938,27338,269240,36.5
3168,Starke County,Indiana,108000,48895,23282,22941,41.6
3181,Steuben County,Indiana,140600,56101,28429,34474,43.2
2269,Sullivan County,Indiana,85500,46517,22976,20792,41
3188,Switzerland County,Indiana,110800,47929,23347,10628,40.1
2271,Tippecanoe County,Indiana,148800,51844,26262,189294,28
2270,Tipton County,Indiana,106200,55479,30026,15218,44.9
2237,Union County,Indiana,112100,48227,24040,7153,43.8
2257,Vanderburgh County,Indiana,126400,46943,28320,181313,38.1
2246,Vermillion County,Indiana,77400,48377,25143,15560,43.1
2272,Vigo County,Indiana,92400,43859,24254,107693,36.2
2262,Wabash County,Indiana,97200,50637,25228,31631,42.2
2245,Warren County,Indiana,115400,61148,29408,8247,44.5
2273,Warrick County,Indiana,162700,70648,35915,61928,40.9
3177,Washington County,Indiana,113200,47078,24048,27827,41.5
3170,Wayne County,Indiana,97400,44228,25460,66613,40.9
3183,Wells County,Indiana,120700,56265,27106,27947,39.8
3191,White County,Indiana,110300,55086,27621,24217,41.9
2234,Whitley County,Indiana,138700,61153,30144,33649,40.8
