,NAME,Median Home Value,Household Income,Population,Median Age,Per Capita Income,State,County
0,"Washington County, Mississippi",74700.0,30834.0,47086.0,36.9,19884.0,Mississippi,Washington County
1,"Perry County, Mississippi",83700.0,39007.0,12028.0,40.9,21611.0,Mississippi,Perry County
2,"Choctaw County, Mississippi",81600.0,37203.0,8321.0,44.0,20589.0,Mississippi,Choctaw County
3,"Itawamba County, Mississippi",89500.0,40510.0,23480.0,40.0,20629.0,Mississippi,Itawamba County
4,"Carroll County, Mississippi",89300.0,43060.0,10129.0,47.0,22567.0,Mississippi,Carroll County
5,"Grenada County, Mississippi",99700.0,36877.0,21278.0,39.8,21668.0,Mississippi,Grenada County
6,"Jefferson County, Mississippi",62300.0,20188.0,7346.0,39.3,13374.0,Mississippi,Jefferson County
7,"Greene County, Mississippi",80900.0,49447.0,13714.0,39.1,17453.0,Mississippi,Greene County
8,"Marshall County, Mississippi",108000.0,41572.0,35787.0,40.2,21352.0,Mississippi,Marshall County
9,"Quitman County, Mississippi",52300.0,25510.0,7372.0,38.4,15353.0,Mississippi,Quitman County
10,"Bolivar County, Mississippi",94700.0,29912.0,32592.0,35.2,17713.0,Mississippi,Bolivar County
11,"Lamar County, Mississippi",170400.0,58188.0,61223.0,35.4,28934.0,Mississippi,Lamar County
12,"Lee County, Mississippi",131300.0,47978.0,84915.0,37.2,25467.0,Mississippi,Lee County
13,"Pike County, Mississippi",91400.0,30910.0,39737.0,37.3,17954.0,Mississippi,Pike County
14,"Tallahatchie County, Mississippi",63500.0,30028.0,14361.0,34.6,14943.0,Mississippi,Tallahatchie County
15,"Smith County, Mississippi",95400.0,41657.0,16063.0,40.1,23164.0,Mississippi,Smith County
16,"Stone County, Mississippi",117800.0,44883.0,18375.0,37.5,21931.0,Mississippi,Stone County
17,"Warren County, Mississippi",118600.0,43039.0,47075.0,38.8,23793.0,Mississippi,Warren County
18,"Clarke County, Mississippi",79700.0,39246.0,15928.0,42.1,22422.0,Mississippi,Clarke County
19,"Kemper County, Mississippi",71200.0,28176.0,10107.0,41.8,15518.0,Mississippi,Kemper County
20,"Montgomery County, Mississippi",80000.0,33667.0,10198.0,42.1,22913.0,Mississippi,Montgomery County
21,"Oktibbeha County, Mississippi",161100.0,38800.0,49481.0,25.8,22136.0,Mississippi,Oktibbeha County
22,"Pearl River County, Mississippi",128600.0,45820.0,55149.0,40.9,23135.0,Mississippi,Pearl River County
23,"Leake County, Mississippi",78500.0,33482.0,22870.0,36.6,17960.0,Mississippi,Leake County
24,"Noxubee County, Mississippi",60800.0,36000.0,10828.0,36.4,17637.0,Mississippi,Noxubee County
25,"Neshoba County, Mississippi",81400.0,36875.0,29376.0,36.8,19641.0,Mississippi,Neshoba County
26,"Rankin County, Mississippi",160000.0,64557.0,151240.0,37.4,29874.0,Mississippi,Rankin County
27,"Tate County, Mississippi",117800.0,51056.0,28493.0,37.6,23542.0,Mississippi,Tate County
28,"Lawrence County, Mississippi",93200.0,42290.0,12630.0,40.3,21809.0,Mississippi,Lawrence County
29,"Panola County, Mississippi",77400.0,36563.0,34243.0,37.8,19972.0,Mississippi,Panola County
30,"Yalobusha County, Mississippi",83100.0,41864.0,12421.0,42.6,21140.0,Mississippi,Yalobusha County
31,"Chickasaw County, Mississippi",66000.0,35939.0,17279.0,36.8,19556.0,Mississippi,Chickasaw County
32,"Copiah County, Mississippi",97900.0,40361.0,28721.0,38.2,19434.0,Mississippi,Copiah County
33,"George County, Mississippi",109800.0,48319.0,23710.0,36.3,21105.0,Mississippi,George County
34,"Hinds County, Mississippi",115200.0,43005.0,241774.0,34.4,23114.0,Mississippi,Hinds County
35,"Newton County, Mississippi",83000.0,33831.0,21524.0,36.6,21600.0,Mississippi,Newton County
36,"Union County, Mississippi",95000.0,41287.0,28356.0,38.2,20088.0,Mississippi,Union County
37,"Sharkey County, Mississippi",61800.0,28799.0,4511.0,42.1,17877.0,Mississippi,Sharkey County
38,"Tippah County, Mississippi",83100.0,39839.0,21990.0,39.4,20180.0,Mississippi,Tippah County
39,"Forrest County, Mississippi",120700.0,40675.0,75517.0,32.4,22042.0,Mississippi,Forrest County
40,"Hancock County, Mississippi",144400.0,47543.0,46653.0,44.0,26659.0,Mississippi,Hancock County
41,"Lafayette County, Mississippi",188600.0,47132.0,53459.0,29.9,26154.0,Mississippi,Lafayette County
42,"Issaquena County, Mississippi",57500.0,25776.0,1328.0,40.1,18942.0,Mississippi,Issaquena County
43,"Lowndes County, Mississippi",131800.0,45355.0,59437.0,37.1,24499.0,Mississippi,Lowndes County
44,"Leflore County, Mississippi",79700.0,26052.0,29804.0,33.8,16861.0,Mississippi,Leflore County
45,"Wilkinson County, Mississippi",70000.0,26599.0,8990.0,37.5,13231.0,Mississippi,Wilkinson County
46,"Harrison County, Mississippi",144500.0,45566.0,202626.0,36.0,24445.0,Mississippi,Harrison County
47,"Jefferson Davis County, Mississippi",84200.0,30083.0,11495.0,44.3,19233.0,Mississippi,Jefferson Davis County
48,"Lincoln County, Mississippi",99600.0,40355.0,34432.0,38.6,21892.0,Mississippi,Lincoln County
49,"Scott County, Mississippi",68700.0,33735.0,28415.0,36.5,21640.0,Mississippi,Scott County
50,"Winston County, Mississippi",84100.0,36214.0,18358.0,41.6,24538.0,Mississippi,Winston County
51,"Yazoo County, Mississippi",81400.0,31402.0,27974.0,35.7,18866.0,Mississippi,Yazoo County
52,"Benton County, Mississippi",68800.0,35974.0,8253.0,40.4,20363.0,Mississippi,Benton County
53,"Franklin County, Mississippi",76500.0,40810.0,7757.0,42.1,22769.0,Mississippi,Franklin County
54,"Jasper County, Mississippi",73400.0,35931.0,16529.0,40.6,21929.0,Mississippi,Jasper County
55,"Jones County, Mississippi",92100.0,41263.0,68454.0,37.2,22836.0,Mississippi,Jones County
56,"Monroe County, Mississippi",88200.0,40940.0,35840.0,41.2,23158.0,Mississippi,Monroe County
57,"Sunflower County, Mississippi",73900.0,30029.0,26532.0,35.3,15464.0,Mississippi,Sunflower County
58,"Webster County, Mississippi",83100.0,40683.0,9828.0,39.8,21109.0,Mississippi,Webster County
59,"Adams County, Mississippi",92800.0,29203.0,31547.0,41.0,17851.0,Mississippi,Adams County
60,"Clay County, Mississippi",87400.0,35121.0,19808.0,39.5,21076.0,Mississippi,Clay County
61,"Covington County, Mississippi",78600.0,35931.0,19091.0,37.7,18353.0,Mississippi,Covington County
62,"Humphreys County, Mississippi",68900.0,28507.0,8539.0,38.0,16604.0,Mississippi,Humphreys County
63,"Saline County, Missouri",102000.0,43201.0,23102.0,38.0,22802.0,Missouri,Saline County
64,"Madison County, Missouri",98600.0,41322.0,12205.0,42.1,22119.0,Missouri,Madison County
65,"Wright County, Missouri",100400.0,32752.0,18293.0,42.0,19909.0,Missouri,Wright County
66,"Vernon County, Missouri",99000.0,43379.0,20691.0,40.9,24388.0,Missouri,Vernon County
67,"Nodaway County, Missouri",124600.0,43349.0,22547.0,29.2,22151.0,Missouri,Nodaway County
68,"Chariton County, Missouri",91600.0,46992.0,7546.0,45.5,24470.0,Missouri,Chariton County
69,"Grundy County, Missouri",91400.0,42574.0,10039.0,40.8,23249.0,Missouri,Grundy County
70,"Morgan County, Missouri",122300.0,37727.0,20137.0,46.1,21265.0,Missouri,Morgan County
71,"Wayne County, Missouri",74900.0,34391.0,13308.0,47.3,18759.0,Missouri,Wayne County
72,"Bollinger County, Missouri",105400.0,42985.0,12281.0,44.1,20949.0,Missouri,Bollinger County
73,"Cape Girardeau County, Missouri",155000.0,51730.0,78324.0,36.6,26546.0,Missouri,Cape Girardeau County
74,"Shelby County, Missouri",74700.0,44051.0,6061.0,41.5,23501.0,Missouri,Shelby County
75,"Webster County, Missouri",127900.0,47421.0,38082.0,37.1,21682.0,Missouri,Webster County
76,"Atchison County, Missouri",85600.0,48385.0,5270.0,48.3,29009.0,Missouri,Atchison County
77,"Bates County, Missouri",114500.0,46186.0,16374.0,41.8,27035.0,Missouri,Bates County
78,"Benton County, Missouri",116500.0,38028.0,18989.0,53.3,23984.0,Missouri,Benton County
79,"Carter County, Missouri",116600.0,39415.0,6197.0,41.0,21884.0,Missouri,Carter County
80,"Dade County, Missouri",81300.0,39979.0,7590.0,46.4,21538.0,Missouri,Dade County
81,"Linn County, Missouri",82700.0,43642.0,12186.0,42.1,24150.0,Missouri,Linn County
82,"Howell County, Missouri",104500.0,36143.0,40102.0,40.6,20873.0,Missouri,Howell County
83,"Johnson County, Missouri",151100.0,53056.0,53689.0,30.1,24146.0,Missouri,Johnson County
84,"Laclede County, Missouri",114400.0,46192.0,35507.0,40.4,21577.0,Missouri,Laclede County
85,"Maries County, Missouri",122200.0,44436.0,8884.0,45.0,23729.0,Missouri,Maries County
86,"Phelps County, Missouri",129400.0,42846.0,44789.0,35.2,24304.0,Missouri,Phelps County
87,"Platte County, Missouri",216600.0,76912.0,98824.0,38.3,39427.0,Missouri,Platte County
88,"St. Francois County, Missouri",120700.0,45774.0,66342.0,39.6,22575.0,Missouri,St. Francois County
89,"Andrew County, Missouri",140100.0,55683.0,17403.0,42.4,28027.0,Missouri,Andrew County
90,"Carroll County, Missouri",84100.0,42149.0,8843.0,43.1,24597.0,Missouri,Carroll County
91,"Daviess County, Missouri",107500.0,50380.0,8302.0,40.5,24081.0,Missouri,Daviess County
92,"Knox County, Missouri",71900.0,40383.0,3951.0,44.0,22020.0,Missouri,Knox County
93,"Marion County, Missouri",121400.0,46762.0,28672.0,39.1,23589.0,Missouri,Marion County
94,"Osage County, Missouri",146000.0,58476.0,13619.0,40.3,26037.0,Missouri,Osage County
95,"Ripley County, Missouri",85000.0,33343.0,13693.0,42.7,17502.0,Missouri,Ripley County
96,"Warren County, Missouri",172400.0,57948.0,33908.0,40.1,27523.0,Missouri,Warren County
97,"Audrain County, Missouri",98300.0,43761.0,25735.0,39.7,21819.0,Missouri,Audrain County
98,"Christian County, Missouri",162900.0,57019.0,84275.0,37.9,27024.0,Missouri,Christian County
99,"Greene County, Missouri",141200.0,44808.0,288429.0,36.0,26378.0,Missouri,Greene County
100,"Harrison County, Missouri",74600.0,40168.0,8554.0,43.0,20986.0,Missouri,Harrison County
101,"St. Clair County, Missouri",83600.0,38470.0,9383.0,49.9,22672.0,Missouri,St. Clair County
102,"Adair County, Missouri",118100.0,40046.0,25325.0,27.7,22000.0,Missouri,Adair County
103,"Scotland County, Missouri",87200.0,42965.0,4898.0,37.5,23809.0,Missouri,Scotland County
104,"Sullivan County, Missouri",75400.0,42604.0,6317.0,42.6,21661.0,Missouri,Sullivan County
105,"Clark County, Missouri",88100.0,47955.0,6800.0,43.9,28537.0,Missouri,Clark County
106,"Jefferson County, Missouri",158100.0,63030.0,223302.0,39.0,28844.0,Missouri,Jefferson County
